sector,latent_traffic,month_year
WSSMM_2,18251306.26391772,2019-04-01
MTWNM_3,18077001.71320253,2019-04-01
MBMKM_1,12752589.7551851,2019-04-01
SBYYM_3,8768744.415529732,2019-04-01
RWH2M_3,8524921.028094482,2019-04-01
ANCTM_3,7688619.26549954,2019-04-01
MKS1M_2,7482334.26724126,2019-04-01
NM13M_3,7317677.6881301515,2019-04-01
NMV3M_1,7095093.594713291,2019-04-01
BNAHM_1,6394519.076903648,2019-04-01
KD21M_2,4327038.200742628,2019-04-01
PY18M_3,3461392.140323565,2019-04-01
R212M_3,3439686.1603089166,2019-04-01
LKHGM_3,3189319.2472526766,2019-04-01
LP97M_2,3019395.1761869374,2019-04-01
MDRMM_2,2742849.654538653,2019-04-01
RSK1M_1,2515591.020089271,2019-04-01
BPN2M_2,1869486.4977063523,2019-04-01
SBUTM_1,1854827.940374244,2019-04-01
TSM5M_3,1612312.2842069925,2019-04-01
WLBNM_1,1447866.2608700774,2019-04-01
CNS1M_2,1364618.0010656011,2019-04-01
SBUTM_3,1324405.3185182381,2019-04-01
BKUMM_3,1300247.699987611,2019-04-01
P55YM_1,1270330.9433243752,2019-04-01
MCRNM_1,1112117.2432086985,2019-04-01
BP71M_3,1083563.1243654594,2019-04-01
TP21M_3,1066413.815813865,2019-04-01
RM3XM_2,963908.720808801,2019-04-01
NTWPM_3,910141.0388874932,2019-04-01
PTS3M_3,878369.849560852,2019-04-01
PTS3M_1,744378.8421994396,2019-04-01
MSPKM_1,701837.3895985003,2019-04-01
WTGTM_1,646848.1637916225,2019-04-01
STKHM_1,626705.8678734686,2019-04-01
MCRNM_2,625924.1775416809,2019-04-01
BPN2M_3,595587.1082951598,2019-04-01
TRS4M_1,561204.5871870862,2019-04-01
RM80M_1,414732.3144616929,2019-04-01
MTRNM_1,410215.9166383734,2019-04-01
CR21M_2,356587.2673335061,2019-04-01
RCW1M_1,327889.8100882032,2019-04-01
SWGAM_2,303636.7754935677,2019-04-01
WTPWM_1,301624.5824520029,2019-04-01
CS65M_1,274361.4174107217,2019-04-01
RMA6M_1,267008.4102257859,2019-04-01
CR19M_2,235159.44036487807,2019-04-01
YMP1M_1,229950.89331910832,2019-04-01
YMMTM_3,188379.4269001047,2019-04-01
R2N3M_1,186280.50754737583,2019-04-01
RM80M_3,169014.73697349368,2019-04-01
PASPM_1,156228.4131168528,2019-04-01
CN47M_2,144294.7568132892,2019-04-01
SKSSM_1,141353.5205163105,2019-04-01
PM30M_1,121326.41726830388,2019-04-01
RKHRM_2,59919.18204364737,2019-04-01
20M2M_2,56765.21651447308,2019-04-01
HPHGM_3,50535.80653799941,2019-04-01
RM80M_2,48457.222112289346,2019-04-01
LFYKM_1,44312.7284146147,2019-04-01
L4Y5M_2,43843.64739175288,2019-04-01
CRNJM_3,37792.67086165245,2019-04-01
N111M_1,36051.378217609206,2019-04-01
CHTRM_1,33093.46030328378,2019-04-01
EK30M_3,27088.054703896472,2019-04-01
DKWWM_2,25459.550199895224,2019-04-01
PS63M_1,17110.21312531705,2019-04-01
KUBNM_2,13920.341268027421,2019-04-01
R613M_2,10440.61719761449,2019-04-01
CC43M_3,4687.9812139090445,2019-04-01
UK42M_3,585.5903196887398,2019-04-01
YMP1M_2,0.0,2019-04-01
SI15M_1,0.0,2019-04-01
BK65M_1,0.0,2019-04-01
BNAHM_2,0.0,2019-04-01
P110M_1,0.0,2019-04-01
CS35M_1,0.0,2019-04-01
