sector,latent_traffic,month_year
FFKUM_3,15336410.194022503,2019-04-01
NSP1M_2,12501438.537654819,2019-04-01
SPTMM_3,8709976.243116312,2019-04-01
DLDTM_3,8209629.846809724,2019-04-01
R266M_1,7895768.229314659,2019-04-01
WNCKM_2,7750625.017770108,2019-04-01
MNKMM_1,6911612.305851653,2019-04-01
PMNIM_3,6591420.832545337,2019-04-01
SBTWM_2,6392196.30319263,2019-04-01
SS88M_1,6136522.930884161,2019-04-01
SB18M_1,5697765.9356477,2019-04-01
SSSWM_3,5334402.213284635,2019-04-01
SW02M_1,5262010.439176655,2019-04-01
KSRIM_3,5189602.96722792,2019-04-01
UTRKM_3,5163194.108105486,2019-04-01
TABNM_2,5008133.9660146525,2019-04-01
CNS1M_1,4822903.215159869,2019-04-01
LKHGM_1,4523882.152576752,2019-04-01
WBPYM_2,4457881.399078226,2019-04-01
STWBM_3,4398655.237097271,2019-04-01
SMPNM_2,4346777.281878049,2019-04-01
TLPUM_1,4248835.309914302,2019-04-01
NTRPM_3,4043004.550898627,2019-04-01
TWTRM_2,3881404.0596638173,2019-04-01
YTCNM_1,3839569.401880653,2019-04-01
MXIMM_1,3829601.588487444,2019-04-01
STKHM_3,3785982.447971762,2019-04-01
P41SM_3,3586051.4376562284,2019-04-01
MHTPM_2,3510923.842183116,2019-04-01
TPK4M_3,3334264.2838910576,2019-04-01
SWBBM_3,3316371.3410138474,2019-04-01
KGP1M_2,3271708.374972953,2019-04-01
NAKTM_2,3258901.5398824336,2019-04-01
EK69M_1,3041136.7123198435,2019-04-01
MTWNM_1,3004828.25725384,2019-04-01
STKHM_2,3003830.9958827985,2019-04-01
TYRHM_3,2906902.6783801843,2019-04-01
TWTSM_1,2827417.2318373653,2019-04-01
ISPSM_3,2745559.325226341,2019-04-01
STDXM_3,2703096.182923946,2019-04-01
SR38M_3,2437125.9827247,2019-04-01
PRTIM_2,2429630.0271993726,2019-04-01
SK28M_1,2427616.325524347,2019-04-01
RL42M_2,2377024.1161280307,2019-04-01
SKH2M_1,2252550.2905798606,2019-04-01
SK30M_1,2218369.931037281,2019-04-01
PCTPM_1,2215464.589515892,2019-04-01
R189M_3,2177809.388602924,2019-04-01
SPTMM_2,2147163.8328780592,2019-04-01
WTMWM_3,2138267.77221652,2019-04-01
DKWMM_2,2102946.8068432594,2019-04-01
R189M_2,2096899.2479566168,2019-04-01
PLSMM_3,2075776.5365554178,2019-04-01
SPPWM_2,2059850.2128139173,2019-04-01
KSPNM_3,2002458.7936525897,2019-04-01
KW91M_1,1970510.2841316687,2019-04-01
TNNCM_3,1859319.3409569515,2019-04-01
SVRAM_3,1845296.1059347936,2019-04-01
ICPTM_1,1732889.2868113501,2019-04-01
ASSKM_3,1705284.709868034,2019-04-01
SKTRM_2,1630596.9286144588,2019-04-01
TPRKM_3,1604935.8879857985,2019-04-01
KPP1M_1,1604398.3997795817,2019-04-01
VPCTM_2,1593615.92698886,2019-04-01
R9SSM_3,1553662.4200094782,2019-04-01
RT77M_3,1533143.7329593077,2019-04-01
BNAAM_2,1528381.1652639403,2019-04-01
PKGTM_1,1527014.6631000012,2019-04-01
TMSRM_1,1436904.7950054342,2019-04-01
KNP9M_2,1398363.8502743635,2019-04-01
KBPNM_3,1356043.6571317324,2019-04-01
P682M_2,1310201.652438596,2019-04-01
KPP1M_2,1266567.945182637,2019-04-01
MBSMM_1,1248247.1241649673,2019-04-01
BDT6M_1,1200482.49903759,2019-04-01
BOTMM_1,1165212.2345343535,2019-04-01
NDR2M_3,1012190.8133817625,2019-04-01
DDG2M_1,1002587.4264410507,2019-04-01
EAUMM_3,990268.0739866626,2019-04-01
STWBM_1,986835.7603925555,2019-04-01
MBVLM_2,948462.1274635072,2019-04-01
SKN4M_1,869295.1721191428,2019-04-01
TP16M_1,837632.1877186793,2019-04-01
BN27M_2,766990.4416291666,2019-04-01
LLK3M_3,749545.7610279783,2019-04-01
TB51M_3,736165.5887419855,2019-04-01
MBSMM_3,724913.8905258444,2019-04-01
SW57M_2,715274.8713891205,2019-04-01
SVAQM_3,684624.1946284017,2019-04-01
NW31M_3,660345.260955965,2019-04-01
BTKHM_3,654094.5182318878,2019-04-01
NRR1M_1,612138.5915409806,2019-04-01
LZ42M_3,586775.9558204168,2019-04-01
MKS1M_1,548018.3106431311,2019-04-01
R369M_2,532494.4148297904,2019-04-01
TCCTM_2,517705.59840843384,2019-04-01
HCU2M_2,516297.00407250994,2019-04-01
SKB6M_3,475079.84849255753,2019-04-01
PLLKM_3,421047.2140875941,2019-04-01
MBSMM_2,418662.8464337882,2019-04-01
SPTAM_3,404652.10603462474,2019-04-01
SSYIM_2,397726.4866050646,2019-04-01
BPM4M_2,392459.1719742217,2019-04-01
SPGMM_3,378713.77035712433,2019-04-01
TK36M_3,374595.6800065321,2019-04-01
LBP2M_2,367905.58256841166,2019-04-01
RPT1M_2,362504.0175479595,2019-04-01
SA35M_2,359249.6204919102,2019-04-01
MBP3M_1,338810.69621516793,2019-04-01
